Time (s),X (in),Y (in)
20.305000,0.000000,0.000000
20.336000,0.000000,0.000000
20.368000,0.000000,0.000000
20.400000,0.000000,0.000000
20.432000,0.000000,0.000000
20.464000,0.000000,0.000000
20.513000,0.000000,0.000000
20.544000,0.000000,0.000000
20.577000,0.000000,0.000000
20.609000,0.000000,0.000000
20.641000,0.000000,0.000000
20.673000,0.000000,0.000000
20.705000,0.000000,0.000000
20.736000,0.000000,0.000000
20.768000,0.000000,0.000000
20.800000,0.000000,0.000000
20.832000,0.000000,0.000000
20.864000,0.000000,0.000000
20.912000,0.000000,0.000000
20.944000,0.000000,0.000000
20.976000,0.000000,0.000000
21.009000,0.000000,0.000000
21.040000,0.000000,0.000000
21.072000,0.000000,0.000000
21.104000,0.000000,0.000000
21.136000,0.000000,0.000000
21.168000,0.000000,0.000000
21.200000,0.000000,0.000000
21.232000,0.000000,0.000000
21.264000,0.000000,0.000000
21.312000,0.000000,0.000000
21.345000,0.000000,0.000000
21.376000,0.000000,0.000000
21.408000,0.000000,0.000000
21.440000,0.000000,0.000000
21.472000,0.000000,0.000000
21.504000,0.000000,0.000000
21.537000,0.000000,0.000000
21.569000,0.000000,0.000000
21.600000,0.000000,0.000000
21.632000,0.000000,0.000000
21.664000,0.000000,0.000000
21.712000,0.000000,0.000000
21.745000,0.000000,0.000000
21.776000,0.000000,0.000000
21.808000,0.000000,0.000000
21.840000,0.000000,0.000000
21.872000,0.000000,0.000000
21.904000,0.000000,0.000000
21.936000,0.000000,0.000000
21.969000,0.000000,0.000000
22.000000,0.000000,0.000000
22.033000,0.000000,0.000000
22.065000,0.000000,0.000000
22.096000,0.000000,0.000000
22.144000,0.000000,0.000000
22.176000,0.000000,0.000000
22.209000,0.000000,0.000000
22.240000,0.000000,0.000000
22.272000,0.000000,0.000000
22.305000,0.000000,0.000000
22.337000,0.000000,0.000000
22.369000,0.000000,0.000000
22.400000,0.000000,0.000000
22.433000,0.000000,0.000000
22.465000,0.000000,0.000000
22.496000,0.000000,0.000000
22.544000,0.000000,0.000000
22.576000,0.000000,0.000000
22.608000,0.000000,0.000000
22.640000,0.000000,0.000000
22.672000,0.000000,0.000000
22.705000,0.000000,0.000000
22.736000,0.000000,0.000000
22.769000,0.000000,0.000000
22.800000,0.000000,0.000000
22.833000,0.000000,0.000000
22.865000,0.000000,0.000000
22.896000,0.000000,0.000000
22.944000,0.000000,0.000000
22.976000,0.000000,0.000000
23.008000,0.000000,0.000000
23.040000,0.000000,0.000000
23.073000,0.000000,0.000000
23.104000,0.000000,0.000000
23.136000,0.000000,0.000000
23.169000,0.000000,0.000000
23.200000,0.000000,0.000000
23.233000,0.000000,0.000000
23.264000,0.000000,0.000000
23.296000,0.000000,0.000000
23.345000,0.000000,0.000000
23.377000,0.000000,0.000000
23.408000,0.000000,0.000000
23.440000,0.000000,0.000000
23.472000,0.000000,0.000000
23.504000,0.000000,0.000000
23.536000,0.000000,0.000000
23.568000,0.000000,0.000000
23.600000,0.000000,0.000000
23.632000,0.000000,0.000000
23.664000,0.000000,0.000000
23.696000,0.000000,0.000000
23.744000,3.315244,-2.382462
23.776000,3.326566,-2.380903
23.808000,3.324400,-2.379229
23.841000,3.341263,-2.377766
23.873000,3.354731,-2.376058
23.904000,3.345097,-2.374314
23.936000,3.333495,-2.372026
23.968000,3.335631,-2.370855
24.000000,3.341358,-2.370568
24.032000,3.352780,-2.368044
24.064000,3.345688,-2.366005
24.096000,3.348311,-2.364251
24.145000,3.347308,-2.363671
24.176000,3.345562,-2.361811
24.209000,3.339511,-2.360345
24.240000,3.353676,-2.357799
24.272000,3.361416,-2.356361
24.304000,3.363027,-2.353668
24.336000,3.367600,-2.351769
24.368000,3.367128,-2.350409
24.400000,3.370210,-2.350138
24.432000,3.365450,-2.348429
24.465000,3.361453,-2.347291
24.496000,3.363481,-2.345495
24.544000,3.372907,-2.343829
24.577000,3.371497,-2.342490
24.608000,3.370068,-2.341270
24.640000,3.366483,-2.339798
24.673000,3.366066,-2.338979
24.704000,3.366021,-2.336766
24.737000,3.373639,-2.333440
24.768000,3.372850,-2.331981
24.800000,3.372381,-2.330287
24.832000,3.380974,-2.327981
24.864000,3.379426,-2.326650
24.896000,3.377136,-2.325847
24.944000,3.374617,-2.324664
24.976000,3.373878,-2.323224
25.008000,3.373453,-2.321020
25.040000,3.379522,-2.318002
25.072000,3.379237,-2.317050
25.104000,3.376912,-2.315636
25.136000,3.369867,-2.311554
25.168000,3.369440,-2.309574
25.200000,3.367105,-2.305344
25.232000,3.371601,-2.302612
25.264000,3.371421,-2.301488
25.296000,3.371806,-2.299219
25.345000,3.377986,-2.297391
25.376000,3.377691,-2.296477
25.408000,3.377112,-2.295333
25.440000,3.374741,-2.293802
25.472000,3.370334,-2.290961
25.504000,3.370242,-2.288992
25.537000,3.375705,-2.286324
25.569000,3.375934,-2.285038
25.600000,3.376242,-2.283854
25.632000,3.374352,-2.281677
25.665000,3.373039,-2.281227
25.696000,3.373095,-2.280146
25.745000,3.376371,-2.275808
25.776000,3.377953,-2.275495
25.808000,3.379726,-2.274126
25.840000,3.384629,-2.271149
25.872000,3.382818,-2.269474
25.904000,3.383635,-2.268708
25.936000,3.380823,-2.266758
25.968000,3.380681,-2.265750
26.000000,3.380817,-2.263299
26.032000,3.384994,-2.261224
26.065000,3.385437,-2.260030
26.096000,3.383389,-2.258598
26.144000,3.382718,-2.257719
26.176000,3.381836,-2.257037
26.208000,3.383425,-2.255419
26.241000,3.383387,-2.253300
26.272000,3.384079,-2.251115
26.305000,3.384756,-2.248842
26.336000,3.390847,-2.247677
26.368000,3.390936,-2.246610
26.400000,3.386625,-2.243761
26.433000,3.388819,-2.243957
26.464000,3.385708,-2.242170
26.496000,3.387372,-2.241359
26.544000,3.387808,-2.238146
26.576000,3.389504,-2.237496
26.608000,3.388737,-2.237031
26.641000,3.388310,-2.235302
26.673000,3.386578,-2.234799
26.705000,3.386798,-2.233871
26.736000,3.389837,-2.229720
26.769000,3.389539,-2.228458
26.801000,3.391139,-2.226269
26.832000,3.394430,-2.225708
26.864000,3.393495,-2.224612
26.897000,3.391689,-2.223002
26.945000,3.389739,-2.222350
26.976000,3.389597,-2.221300
27.008000,3.390617,-2.220395
27.040000,3.393110,-2.218508
27.073000,3.393550,-2.216555
27.105000,3.391202,-2.215383
27.137000,3.391012,-2.214726
27.168000,3.392040,-2.214028
27.200000,3.390992,-2.210560
27.233000,3.391332,-2.205001
27.265000,3.391031,-2.205754
27.296000,3.392997,-2.204612
27.345000,3.394552,-2.203579
27.376000,3.394374,-2.202233
27.408000,3.391222,-2.200823
27.440000,3.387921,-2.197865
27.473000,3.389233,-2.197596
27.505000,3.389422,-2.195033
27.536000,3.393542,-2.189318
27.568000,3.391434,-2.187637
27.601000,3.390514,-2.186848
27.633000,3.390330,-2.186731
27.664000,3.386616,-2.184559
27.697000,3.387873,-2.182338
27.745000,3.389605,-2.180138
27.776000,3.388829,-2.176294
27.808000,3.387495,-2.176163
27.840000,3.386889,-2.173104
27.873000,3.387187,-2.168909
27.905000,3.388565,-2.168797
27.937000,3.388101,-2.168463
27.968000,3.386284,-2.167505
28.000000,3.387611,-2.166310
28.032000,3.388489,-2.164857
28.064000,3.387777,-2.162978
28.096000,3.385237,-2.165552
28.145000,3.384515,-2.163848
28.177000,3.388160,-2.159341
28.208000,3.385951,-2.160911
28.240000,3.389567,-2.156573
28.272000,3.387858,-2.154022
28.304000,3.390109,-2.152551
28.336000,3.391604,-2.151380
28.368000,3.390857,-2.150150
28.400000,3.390430,-2.149106
28.432000,3.391787,-2.144511
28.464000,3.390420,-2.143255
28.497000,3.391580,-2.142153
28.545000,3.391606,-2.142314
28.576000,3.391114,-2.140803
28.608000,3.390274,-2.139821
28.641000,3.388896,-2.137591
28.673000,3.389781,-2.136759
28.704000,3.389611,-2.134941
28.736000,3.391149,-2.131788
28.768000,3.390737,-2.130975
28.800000,3.390004,-2.128659
28.832000,3.391955,-2.126529
28.864000,3.391783,-2.125630
28.896000,3.392494,-2.124773
28.944000,3.391226,-2.123392
28.977000,3.389864,-2.122008
29.008000,3.390079,-2.119246
29.040000,3.392226,-2.117006
29.073000,3.391449,-2.116457
29.105000,3.392780,-2.114359
29.136000,3.392231,-2.112617
29.168000,3.390862,-2.112293
29.200000,3.392144,-2.109453
29.233000,3.392942,-2.106619
29.264000,3.392895,-2.105541
29.297000,3.393302,-2.102987
29.345000,3.393969,-2.100568
29.376000,3.394749,-2.099696
29.408000,3.394738,-2.099576
29.440000,3.393252,-2.097150
29.472000,3.393013,-2.096996
29.505000,3.393017,-2.094104
29.536000,3.394530,-2.091977
29.569000,3.393202,-2.091321
29.600000,3.393383,-2.090231
29.632000,3.392473,-2.087857
29.664000,3.392808,-2.087433
29.697000,3.393873,-2.085127
29.745000,3.394527,-2.082089
29.776000,3.393875,-2.080331
29.808000,3.394463,-2.078139
29.840000,3.395399,-2.075538
29.873000,3.395042,-2.074249
29.904000,3.394815,-2.073671
29.936000,3.394416,-2.072554
29.968000,3.393234,-2.071356
30.000000,3.393457,-2.068269
30.033000,3.394861,-2.066103
30.064000,3.395893,-2.066070
30.096000,3.393469,-2.064277
30.145000,3.392781,-2.062848
30.176000,3.392892,-2.061517
30.208000,3.393440,-2.060005
30.240000,3.395030,-2.056021
30.273000,3.394014,-2.054386
30.304000,3.394948,-2.051403
30.336000,3.396042,-2.050200
30.368000,3.396324,-2.049424
30.400000,3.396049,-2.048461
30.432000,3.394681,-2.046750
30.465000,3.395456,-2.045581
30.496000,3.394383,-2.042734
30.545000,3.395010,-2.040745
30.576000,3.394954,-2.039900
30.609000,3.396178,-2.039264
30.641000,3.394297,-2.037879
30.673000,3.394037,-2.034984
30.705000,3.394734,-2.032422
30.736000,3.396253,-2.029875
30.769000,3.396613,-2.028858
30.800000,3.396680,-2.026423
30.832000,3.397245,-2.023197
30.864000,3.396316,-2.022700
30.896000,3.396448,-2.021323
30.944000,3.396455,-2.020770
30.976000,3.393992,-2.019345
31.008000,3.397638,-2.018406
31.040000,3.401438,-2.016610
31.073000,3.405203,-2.014211
31.105000,3.400954,-2.012351
31.137000,3.399445,-2.011792
31.168000,3.401203,-2.012089
31.200000,3.405282,-2.010331
31.232000,3.403195,-2.008722
31.265000,3.397038,-2.005084
31.296000,3.390966,-2.001498
31.345000,3.393693,-1.999420
31.376000,3.399471,-1.999639
31.409000,3.395914,-1.996888
31.441000,3.390783,-1.994697
31.473000,3.388004,-1.988611
31.505000,3.385438,-1.987273
31.536000,3.390800,-1.985333
31.568000,3.392223,-1.984871
31.601000,3.390786,-1.985187
31.632000,3.393474,-1.979400
31.664000,3.392795,-1.977422
31.696000,3.393643,-1.976880
31.744000,3.393631,-1.976697
31.777000,3.393522,-1.975433
31.808000,3.391006,-1.970646
31.840000,3.387937,-1.964717
31.873000,3.391860,-1.966375
31.904000,3.392267,-1.964534
31.938000,3.391421,-1.964088
31.968000,3.383805,-1.962941
32.001000,3.378850,-1.958128
32.033000,3.381053,-1.959531
32.065000,3.384751,-1.958999
32.096000,3.392719,-1.966696
32.145000,3.392230,-1.965416
32.176000,3.387687,-1.967175
32.208000,3.387564,-1.966156
32.240000,3.389869,-1.962343
32.272000,3.391168,-1.963279
32.304000,3.391381,-1.965334
32.336000,3.392273,-1.962914
32.368000,3.392185,-1.962192
32.400000,3.391730,-1.961138
32.433000,3.391426,-1.959295
32.464000,3.390047,-1.946524
32.496000,3.391189,-1.944168
32.545000,3.390516,-1.942242
32.576000,3.390433,-1.941063
32.608000,3.389974,-1.940377
32.640000,3.393005,-1.936383
32.673000,3.392791,-1.932032
32.705000,3.391096,-1.927731
32.737000,3.394549,-1.926160
32.768000,3.397125,-1.923640
32.800000,3.393934,-1.921294
32.832000,3.392132,-1.919482
32.864000,3.391389,-1.919252
32.897000,3.392773,-1.917436
32.944000,3.393176,-1.916118
32.976000,3.393452,-1.915925
33.009000,3.394098,-1.911880
33.040000,3.392299,-1.911001
33.072000,3.391702,-1.909806
33.105000,3.390219,-1.908645
33.136000,3.389755,-1.906165
33.169000,3.391922,-1.906154
33.200000,3.390494,-1.903210
33.232000,3.392422,-1.897959
33.265000,3.392129,-1.897667
33.297000,3.392608,-1.894771
33.345000,3.393880,-1.892915
33.376000,3.392575,-1.892584
33.408000,3.392291,-1.892274
33.440000,3.392496,-1.889297
33.473000,3.391908,-1.888791
33.505000,3.391670,-1.888138
33.536000,3.391851,-1.884557
33.568000,3.392712,-1.883601
33.600000,3.392621,-1.881989
33.632000,3.392025,-1.880358
33.665000,3.390918,-1.879734
33.697000,3.392112,-1.876863
33.745000,3.394117,-1.873814
33.777000,3.393213,-1.873159
33.808000,3.391656,-1.872665
33.840000,3.393186,-1.869128
33.872000,3.393133,-1.868580
33.905000,3.393485,-1.866888
33.936000,3.392498,-1.865563
33.969000,3.392234,-1.864981
34.000000,3.394019,-1.866843
34.033000,3.394453,-1.858585
34.065000,3.396032,-1.858577
34.096000,3.396101,-1.858467
34.144000,3.391692,-1.862852
34.177000,3.391261,-1.856512
34.208000,3.390058,-1.859489
34.240000,3.393006,-1.855559
34.273000,3.399135,-1.849169
34.304000,3.396772,-1.855498
34.336000,3.394029,-1.851651
34.368000,3.394334,-1.849795
34.400000,3.394416,-1.848114
34.432000,3.393928,-1.846859
34.465000,3.393001,-1.845464
34.496000,3.394558,-1.845371
34.544000,3.396950,-1.844077
34.576000,3.396092,-1.841858
34.608000,3.395483,-1.839561
34.640000,3.398984,-1.837613
34.673000,3.400016,-1.837680
34.705000,3.401022,-1.835686
34.736000,3.400116,-1.829639
34.768000,3.399882,-1.831133
34.800000,3.400082,-1.830489
34.833000,3.402808,-1.826133
34.865000,3.405635,-1.825419
34.896000,3.408036,-1.825160
34.945000,3.407757,-1.823833
34.976000,3.404232,-1.822005
35.009000,3.402610,-1.821185
35.040000,3.403994,-1.818858
35.072000,3.405788,-1.816415
35.105000,3.405043,-1.815740
35.136000,3.401673,-1.813561
35.168000,3.399301,-1.811936
35.200000,3.401924,-1.811107
35.233000,3.404412,-1.808617
35.265000,3.406373,-1.805991
35.296000,3.405800,-1.805096
35.344000,3.405605,-1.801474
35.377000,3.405205,-1.800803
35.408000,3.405629,-1.799401
35.441000,3.404735,-1.798960
35.472000,3.403592,-1.797440
35.505000,3.403418,-1.795696
35.536000,3.403824,-1.793944
35.569000,3.403217,-1.789936
35.601000,3.403272,-1.789556
35.632000,3.403108,-1.788440
35.665000,3.402735,-1.786466
35.696000,3.403673,-1.785712
35.744000,3.403127,-1.784385
35.776000,3.402940,-1.781346
35.809000,3.402264,-1.779398
35.840000,3.400621,-1.777782
35.873000,3.400572,-1.774816
35.904000,3.403469,-1.773293
35.936000,3.404228,-1.772842
35.969000,3.403138,-1.770991
36.000000,3.402163,-1.769204
36.032000,3.402974,-1.768461
36.064000,3.403624,-1.765148
36.096000,3.403408,-1.763878
36.144000,3.402477,-1.762761
36.176000,3.402688,-1.761684
36.209000,3.402616,-1.760806
36.240000,3.402341,-1.759562
36.273000,3.402386,-1.758028
36.305000,3.403138,-1.755320
36.337000,3.403592,-1.754286
36.368000,3.403593,-1.752672
36.400000,3.403378,-1.750637
36.432000,3.403496,-1.748531
36.465000,3.403295,-1.748123
36.496000,3.403051,-1.747138
36.544000,3.402276,-1.746107
36.577000,3.403092,-1.745023
36.608000,3.403063,-1.743749
36.640000,3.403716,-1.741471
36.672000,3.403043,-1.739901
36.704000,3.402881,-1.738793
36.736000,3.402477,-1.736912
36.768000,3.402696,-1.736818
36.800000,3.402652,-1.735412
36.832000,3.402914,-1.732523
36.865000,3.402750,-1.731432
36.897000,3.402886,-1.729775
36.945000,3.403329,-1.728747
36.976000,3.403623,-1.727154
37.008000,3.404922,-1.737700
37.040000,3.404215,-1.736516
37.072000,3.404207,-1.736023
37.105000,3.403315,-1.735085
37.136000,3.402978,-1.732663
37.168000,3.404261,-1.732153
37.200000,3.403977,-1.729339
37.233000,3.403534,-1.727637
37.265000,3.402306,-1.725668
37.296000,3.402819,-1.725510
37.344000,3.403983,-1.722611
37.377000,3.403855,-1.721792
37.408000,3.403282,-1.720109
37.440000,3.403661,-1.719645
37.472000,3.404296,-1.717376
37.504000,3.404730,-1.716475
37.536000,3.403572,-1.715041
37.569000,3.404233,-1.712517
37.600000,3.403935,-1.696491
37.632000,3.403370,-1.695283
37.664000,3.401923,-1.692371
37.697000,3.402262,-1.691428
37.745000,3.402773,-1.690969
37.776000,3.402900,-1.688662
37.809000,3.401730,-1.686897
37.840000,3.401172,-1.686374
37.873000,3.402372,-1.683537
37.904000,3.401938,-1.679710
37.936000,3.401191,-1.677902
37.968000,3.401149,-1.671218
38.000000,3.403308,-1.669400
38.033000,3.403951,-1.669001
38.064000,3.403071,-1.666079
38.096000,3.402523,-1.665670
38.145000,3.402661,-1.663854
38.176000,3.403775,-1.661571
38.208000,3.403315,-1.660450
38.240000,3.402139,-1.660016
38.273000,3.402448,-1.658102
38.304000,3.402337,-1.657004
38.337000,3.402093,-1.655765
38.368000,3.402220,-1.651578
38.400000,3.403695,-1.647639
38.433000,3.404294,-1.647086
38.464000,3.403110,-1.645943
38.497000,3.402225,-1.644990
38.545000,3.403962,-1.641948
38.576000,3.404236,-1.640538
38.609000,3.403965,-1.639434
38.640000,3.403245,-1.637381
38.672000,3.404127,-1.635515
38.705000,3.404237,-1.634436
38.736000,3.403995,-1.632922
38.769000,3.402979,-1.630997
38.800000,3.403154,-1.629337
38.833000,3.403258,-1.628906
38.865000,3.403797,-1.626686
38.896000,3.403446,-1.621814
38.945000,3.403171,-1.620353
38.976000,3.404560,-1.618489
39.008000,3.404804,-1.617076
39.041000,3.404218,-1.615655
39.072000,3.404081,-1.614825
39.105000,3.404870,-1.613553
39.136000,3.404909,-1.613177
39.168000,3.403684,-1.610805
39.200000,3.404304,-1.609036
39.233000,3.404750,-1.607774
39.265000,3.404977,-1.607021
39.297000,3.403987,-1.604718
39.344000,3.403400,-1.602818
39.376000,3.404957,-1.601866
39.408000,3.405621,-1.599227
39.440000,3.404421,-1.597416
39.473000,3.404000,-1.596292
39.505000,3.405211,-1.594972
39.537000,3.406141,-1.593632
39.569000,3.405516,-1.592827
39.600000,3.404178,-1.591610
39.633000,3.404696,-1.590051
39.665000,3.405263,-1.589701
39.697000,3.405309,-1.586926
39.744000,3.404404,-1.584224
39.776000,3.404477,-1.583262
39.808000,3.405491,-1.582576
39.840000,3.404825,-1.579802
39.873000,3.403388,-1.578814
39.905000,3.403469,-1.577395
39.936000,3.404733,-1.575363
39.968000,3.405189,-1.573824
40.000000,3.404121,-1.577230
40.032000,3.405627,-1.570015
40.065000,3.405955,-1.573543
40.096000,3.405806,-1.573209
40.144000,3.404834,-1.565187
