Time (s),X (in),Y (in)
3.359000,0.000000,0.000000
3.391000,0.000000,0.000000
3.423000,0.000000,0.000000
3.455000,0.000000,0.000000
3.503000,0.000000,0.000000
3.535000,0.000000,0.000000
3.567000,0.000000,0.000000
3.599000,0.000000,0.000000
3.630000,0.000000,0.000000
3.663000,3.678127,-2.451486
3.695000,3.575579,-2.425005
3.727000,3.575074,-2.405791
3.759000,3.577637,-2.385189
3.791000,3.579332,-2.362662
3.823000,3.581352,-2.342034
3.855000,3.584264,-2.323373
3.903000,3.580761,-2.301669
3.935000,3.582351,-2.281077
3.967000,3.700817,-2.261854
3.999000,3.703469,-2.238827
4.031000,3.703089,-2.216416
4.063000,3.700972,-2.193355
4.095000,3.704617,-2.171757
4.127000,3.707459,-2.149302
4.159000,3.707943,-2.126848
4.191000,3.706755,-2.104347
4.223000,3.708956,-2.081952
4.255000,3.711511,-2.061187
4.303000,3.712445,-2.041065
4.335000,3.708683,-2.023184
4.367000,3.708933,-1.997023
4.399000,3.711332,-1.971286
4.431000,3.712290,-1.947660
4.462000,3.711119,-1.925612
4.495000,3.710708,-1.904045
4.527000,3.707926,-1.882156
4.559000,3.707723,-1.857745
4.591000,3.707018,-1.833642
4.624000,3.705246,-1.809934
4.655000,3.710435,-1.798776
4.703000,3.704620,-1.770339
4.735000,3.704587,-1.751780
4.767000,3.709282,-1.739998
4.799000,3.706057,-1.702064
4.831000,3.706312,-1.679639
4.863000,3.707994,-1.653695
4.895000,3.706992,-1.632298
4.927000,3.706144,-1.611252
4.959000,3.707624,-1.587844
4.991000,3.707682,-1.560080
5.023000,3.708168,-1.535677
5.055000,3.705621,-1.517316
5.103000,3.706623,-1.501623
5.135000,3.706946,-1.477970
5.167000,3.708418,-1.444834
5.199000,3.707172,-1.406647
5.231000,3.708763,-1.361767
5.263000,3.709217,-1.316222
5.295000,3.709242,-1.272366
5.327000,3.705536,-1.227504
5.359000,3.705636,-1.182257
5.391000,3.709981,-1.133520
5.423000,3.708309,-1.086026
5.454000,3.708398,-1.051490
5.503000,3.707946,-1.019261
5.535000,3.710094,-0.963457
5.567000,3.709800,-0.916973
5.599000,3.709651,-0.870446
5.631000,3.708357,-0.825661
5.663000,3.708941,-0.783487
5.695000,3.708610,-0.737586
5.727000,3.708922,-0.691999
5.759000,3.706861,-0.631870
5.791000,3.706153,-0.585292
5.823000,3.707982,-0.556857
5.854000,3.706385,-0.524269
5.903000,3.706021,-0.477015
5.935000,3.706127,-0.423916
5.967000,3.707313,-0.377525
5.999000,3.707092,-0.335543
6.031000,3.706161,-0.289088
6.063000,3.706452,-0.248824
6.095000,3.706429,-0.201516
6.126000,3.707053,-0.157607
6.159000,3.706888,-0.103626
6.191000,3.707211,-0.065249
6.223000,3.707619,-0.029518
6.255000,3.707961,-0.000786
6.303000,3.706582,0.053126
6.335000,3.708772,0.102271
6.367000,3.709457,0.143675
6.399000,3.709499,0.183358
6.431000,3.710915,0.226561
6.463000,3.711087,0.266542
6.495000,3.710903,0.310488
6.527000,3.713344,0.349675
6.559000,3.714758,0.397341
6.591000,3.714167,0.449612
6.623000,3.717846,0.472182
6.655000,3.718990,0.498754
6.703000,3.721488,0.526082
6.735000,3.723012,0.583965
6.767000,3.725594,0.624393
6.799000,3.726960,0.656128
6.831000,3.728672,0.691891
6.863000,3.731150,0.723906
6.895000,3.734712,0.754846
6.927000,3.738576,0.786872
6.959000,3.741413,0.815026
6.991000,3.745434,0.845024
7.023000,3.748812,0.876872
7.056000,3.752343,0.915791
7.087000,3.755381,0.940966
7.135000,3.756586,0.963294
7.167000,3.760222,0.991846
7.199000,3.760709,1.015371
7.231000,3.763531,1.067327
7.262000,3.766550,1.104490
7.295000,3.770638,1.135393
7.327000,3.774315,1.173549
7.359000,3.775630,1.211852
7.391000,3.777917,1.250751
7.423000,3.779028,1.287239
7.455000,3.780221,1.321369
7.487000,3.780351,1.360319
7.535000,3.781343,1.409996
7.567000,3.782579,1.450082
7.599000,3.782730,1.478835
7.631000,3.781896,1.510463
7.663000,3.782069,1.547897
7.695000,3.783213,1.595616
7.727000,3.783457,1.638190
7.759000,3.783084,1.672211
7.791000,3.783057,1.714299
7.823000,3.783959,1.753619
7.855000,3.785082,1.788963
7.887000,3.783805,1.830293
7.935000,3.784052,1.872065
7.967000,3.785434,1.916567
7.999000,3.784904,1.960144
8.031000,3.776083,1.990657
8.063000,3.774718,2.020826
8.095000,3.775510,2.066144
8.127000,3.775619,2.112656
8.159000,3.774135,2.153052
8.191000,3.774311,2.195403
8.223000,3.774920,2.234075
8.255000,3.774671,2.272092
8.287000,3.774117,2.310894
8.334000,3.773891,2.349527
8.367000,3.774127,2.387551
8.399000,3.774170,2.440364
8.431000,3.774151,2.481942
8.463000,3.773838,2.508585
8.495000,3.775334,2.535747
8.527000,3.773738,2.590906
8.559000,3.773386,2.638403
8.591000,3.773087,2.680798
8.623000,3.772680,2.721150
8.655000,3.773792,2.768531
8.687000,3.773196,2.801132
8.735000,3.772869,2.841455
8.767000,3.772446,2.884477
8.800000,3.774246,2.922995
8.831000,3.775105,2.966998
8.863000,3.775350,2.996917
8.895000,3.778011,3.030431
8.927000,3.781020,3.059816
8.959000,3.785240,3.117378
8.991000,3.785056,3.159393
9.023000,3.784701,3.204924
9.055000,3.784412,3.254786
9.087000,3.784167,3.300116
9.135000,3.784012,3.339338
9.167000,3.783751,3.390503
9.199000,3.784642,3.437522
9.231000,3.783530,3.471725
9.263000,3.783697,3.511793
9.295000,3.782975,3.540548
9.327000,3.782378,3.579474
9.359000,3.782159,3.626320
9.391000,3.781909,3.673231
9.423000,3.781274,3.719168
9.455000,3.780932,3.758859
9.487000,3.781219,3.801975
9.535000,3.780891,3.842074
9.567000,3.780191,3.883820
9.599000,3.780465,3.919718
9.631000,3.781103,3.971074
9.663000,3.780015,4.006943
