Time (s),X (in),Y (in)
8.096000,0.000000,0.000000
8.129000,0.000000,0.000000
8.160000,0.000000,0.000000
8.192000,0.000000,0.000000
8.224000,0.000000,0.000000
8.256000,0.000000,0.000000
8.288000,0.000000,0.000000
8.320000,0.000000,0.000000
8.368000,0.000000,0.000000
8.400000,0.000000,0.000000
8.432000,0.000000,0.000000
8.463000,0.000000,0.000000
8.496000,0.000000,0.000000
8.528000,0.000000,0.000000
8.560000,0.000000,0.000000
8.592000,0.000000,0.000000
8.624000,0.000000,0.000000
8.656000,0.000000,0.000000
8.688000,0.000000,0.000000
8.720000,0.000000,0.000000
8.768000,0.000000,0.000000
8.800000,0.000000,0.000000
8.832000,0.000000,0.000000
8.864000,0.000000,0.000000
8.896000,0.000000,0.000000
8.928000,0.000000,0.000000
8.960000,0.000000,0.000000
8.992000,0.000000,0.000000
9.024000,0.000000,0.000000
9.056000,0.000000,0.000000
9.089000,0.000000,0.000000
9.120000,0.000000,0.000000
9.169000,0.000000,0.000000
9.200000,0.000000,0.000000
9.232000,0.000000,0.000000
9.264000,0.000000,0.000000
9.296000,0.000000,0.000000
9.328000,0.000000,0.000000
9.360000,0.000000,0.000000
9.392000,0.000000,0.000000
9.424000,0.000000,0.000000
9.456000,2.858063,-1.321497
9.488000,2.871621,-1.316248
9.520000,2.851828,-1.308085
9.568000,2.853690,-1.303111
9.600000,2.847180,-1.296483
9.632000,2.852037,-1.290222
9.664000,2.843549,-1.281602
9.696000,2.853048,-1.277593
9.728000,2.846156,-1.271022
9.760000,2.845813,-1.261465
9.792000,2.819916,-1.248040
9.824000,2.844121,-1.246738
9.856000,2.828687,-1.238647
9.889000,2.825043,-1.230909
9.920000,2.822191,-1.225848
9.968000,2.825047,-1.219673
10.000000,2.827952,-1.215094
10.032000,2.825677,-1.207787
10.064000,2.820098,-1.202912
10.096000,2.823267,-1.195271
10.129000,2.829731,-1.191660
10.160000,2.827110,-1.182398
10.192000,2.622377,-1.181273
10.224000,2.820741,-1.167873
10.256000,2.825251,-1.161506
10.288000,2.822131,-1.152527
10.320000,2.827154,-1.147268
10.368000,2.820662,-1.139980
10.400000,2.821399,-1.133859
10.432000,2.820691,-1.125066
10.464000,2.822780,-1.121179
10.496000,2.820911,-1.113259
10.528000,2.824814,-1.107100
10.560000,2.821038,-1.098922
10.592000,2.822650,-1.094892
10.624000,2.822387,-1.087901
10.656000,2.822863,-1.081367
10.688000,2.821395,-1.073362
10.721000,2.823639,-1.068741
10.769000,2.823149,-1.062513
10.800000,2.823694,-1.056012
10.832000,2.821615,-1.050176
10.864000,2.821282,-1.044577
10.896000,2.820038,-1.039905
10.928000,2.824235,-1.033516
10.961000,2.822369,-1.025272
10.992000,2.822978,-1.021180
11.024000,2.822069,-1.013549
11.056000,2.824297,-1.008238
11.088000,2.823766,-1.001066
11.120000,2.824124,-0.995248
11.168000,2.824063,-0.990362
11.200000,2.825280,-0.986186
11.232000,2.825066,-0.978234
11.264000,2.824312,-0.976295
11.296000,2.823961,-0.969319
11.328000,2.825073,-0.965921
11.360000,2.825950,-0.958498
11.392000,2.824939,-0.954799
11.424000,2.825883,-0.952328
11.456000,2.823606,-0.946389
11.489000,2.623414,-0.937776
11.520000,2.623559,-0.941866
11.568000,2.622407,-0.926246
11.600000,2.616652,-0.916653
11.632000,2.811223,-0.908493
11.664000,2.821006,-0.902220
11.696000,2.833806,-0.897724
11.728000,2.834953,-0.892625
11.760000,2.825834,-0.881687
11.792000,2.815415,-0.875619
11.824000,2.821599,-0.865959
11.856000,2.831400,-0.863276
11.888000,2.827123,-0.859751
11.920000,2.816453,-0.851038
11.968000,2.814019,-0.845433
12.000000,2.816245,-0.843054
12.032000,2.820287,-0.837847
12.064000,2.818070,-0.832217
12.096000,2.816727,-0.825862
12.128000,2.815905,-0.825379
12.161000,2.816833,-0.819876
12.192000,2.814220,-0.817761
12.224000,2.814051,-0.814720
12.256000,2.813282,-0.809409
12.288000,2.815293,-0.803388
12.320000,2.815462,-0.800310
12.368000,2.814292,-0.792964
12.400000,2.815988,-0.789135
12.432000,2.817913,-0.784798
12.464000,2.817794,-0.777095
12.496000,2.814803,-0.773987
12.528000,2.814555,-0.767463
12.560000,2.817201,-0.764553
12.592000,2.817513,-0.760059
12.624000,2.815653,-0.753185
12.656000,2.814742,-0.748475
12.688000,2.815292,-0.743554
12.720000,2.818476,-0.739683
12.768000,2.818414,-0.731122
12.800000,2.815076,-0.725534
12.832000,2.818021,-0.721779
12.864000,2.818310,-0.718117
12.896000,2.816190,-0.716251
12.928000,2.816761,-0.710759
12.960000,2.816302,-0.708037
12.992000,2.818952,-0.703898
13.024000,2.817044,-0.700926
13.056000,2.616362,-0.700298
13.088000,2.616782,-0.700168
13.120000,2.617240,-0.699246
13.169000,2.617792,-0.695331
13.200000,2.617565,-0.684949
13.232000,2.817386,-0.674659
13.264000,2.816353,-0.665029
13.296000,2.818686,-0.659364
13.328000,2.815477,-0.657239
13.360000,2.818048,-0.647430
13.392000,2.818018,-0.643680
13.424000,2.821194,-0.639287
13.456000,2.820067,-0.635452
13.488000,2.819299,-0.626698
13.521000,2.819636,-0.624181
13.568000,2.818333,-0.615309
13.600000,2.817440,-0.614042
13.632000,2.817544,-0.606739
13.664000,2.817942,-0.603009
13.696000,2.819165,-0.600032
13.728000,2.819488,-0.594217
13.760000,2.818773,-0.589809
13.792000,2.818579,-0.583588
13.824000,2.819584,-0.578906
13.856000,2.819411,-0.572376
13.888000,2.817755,-0.567980
13.920000,2.818252,-0.562869
13.968000,2.818871,-0.557683
14.001000,2.819700,-0.551449
14.032000,2.818725,-0.544901
14.064000,2.819265,-0.538488
14.096000,2.820448,-0.532795
14.129000,2.820253,-0.526514
14.160000,2.819181,-0.520865
14.192000,2.818929,-0.513818
14.224000,2.819579,-0.506535
14.256000,2.820825,-0.501495
14.288000,2.820488,-0.497785
14.320000,2.820469,-0.489591
14.368000,2.820282,-0.480694
14.400000,2.821181,-0.473304
14.432000,2.822849,-0.467987
14.464000,2.820778,-0.459633
14.496000,2.820530,-0.452519
14.529000,2.822684,-0.448034
14.561000,2.620915,-0.458583
14.592000,2.619066,-0.454066
14.624000,2.619075,-0.440122
14.656000,2.822462,-0.431019
14.689000,2.622089,-0.440569
14.720000,2.620264,-0.436144
14.768000,2.822754,-0.415551
14.801000,2.822811,-0.405801
14.832000,2.825472,-0.394263
14.864000,2.824383,-0.389579
14.896000,2.822937,-0.376832
14.928000,2.822222,-0.369160
14.960000,2.823276,-0.365033
14.992000,2.823761,-0.357607
15.024000,2.822382,-0.352599
15.056000,2.821569,-0.345332
15.088000,2.820725,-0.341753
15.121000,2.822319,-0.333938
15.168000,2.821824,-0.325685
15.200000,2.821053,-0.318514
15.232000,2.820065,-0.314244
15.264000,2.819668,-0.305486
15.296000,2.820112,-0.296444
15.328000,2.821800,-0.290166
15.360000,2.821467,-0.281333
15.392000,2.820829,-0.269812
15.424000,2.820922,-0.255838
15.456000,2.821145,-0.240930
15.489000,2.822399,-0.225994
15.520000,2.822558,-0.207985
15.568000,2.822578,-0.198049
15.600000,2.821619,-0.180413
15.632000,2.821422,-0.167155
15.664000,2.823607,-0.152986
15.696000,2.824448,-0.137449
15.728000,2.823783,-0.130611
15.760000,2.821435,-0.113047
15.792000,2.822637,-0.104228
15.824000,2.825370,-0.097830
15.856000,2.624944,-0.097672
15.888000,2.624732,-0.078848
15.920000,2.828486,-0.048130
15.968000,2.628617,-0.057805
16.000000,2.628586,-0.037160
16.032000,2.628439,-0.026451
16.065000,2.830308,-0.005393
16.096000,2.830384,0.000884
16.128000,2.831166,0.016564
16.160000,2.828425,0.038893
16.193000,2.829141,0.052965
16.224000,2.831377,0.062595
16.256000,2.833943,0.077965
16.288000,2.832602,0.091040
16.320000,2.832408,0.103537
16.368000,2.833024,0.118383
16.400000,2.833031,0.133380
16.432000,2.831248,0.145260
16.464000,2.830819,0.156490
16.496000,2.832850,0.169044
16.528000,2.834770,0.182517
16.560000,2.834337,0.191703
16.592000,2.832637,0.207071
16.624000,2.833333,0.220665
16.656000,2.836263,0.231967
16.688000,2.836450,0.237276
16.720000,2.833678,0.249550
16.768000,2.832348,0.255558
16.800000,2.832944,0.267524
16.832000,2.834155,0.276445
16.864000,2.833571,0.288393
16.896000,2.829446,0.300093
16.929000,2.831197,0.309103
16.960000,2.833996,0.324067
