Time (s),X (in),Y (in)
77.456000,2.863283,-1.766906
77.488000,2.864213,-1.765322
77.519000,2.864009,-1.762058
77.552000,2.862505,-1.759859
77.583000,2.861466,-1.758316
77.616000,2.861905,-1.757460
77.663000,2.861514,-1.756323
77.695000,2.860739,-1.755420
77.728000,2.859472,-1.754469
77.759000,2.859562,-1.753112
77.791000,2.859905,-1.749671
77.824000,2.859491,-1.746711
77.856000,2.857940,-1.743637
77.888000,2.857570,-1.739823
77.919000,2.858241,-1.736900
77.951000,2.857869,-1.735639
77.983000,2.856791,-1.733741
78.016000,2.855340,-1.730188
78.064000,2.855182,-1.727084
78.096000,2.854851,-1.727063
78.128000,2.854076,-1.725797
78.159000,2.853152,-1.725336
78.191000,2.853410,-1.722816
78.223000,2.853491,-1.721365
78.256000,2.853302,-1.717598
78.288000,2.851726,-1.714841
78.320000,2.851529,-1.711896
78.351000,2.851420,-1.711251
78.383000,2.851029,-1.710275
78.416000,2.850182,-1.709689
78.463000,2.849848,-1.706641
78.495000,2.850491,-1.703707
78.528000,2.850368,-1.701034
78.559000,2.849180,-1.697801
78.592000,2.848328,-1.694462
78.623000,2.848207,-1.691803
78.656000,2.848885,-1.688978
78.688000,2.847485,-1.685267
78.719000,2.845832,-1.681707
78.752000,2.845757,-1.680120
78.783000,2.846295,-1.679213
78.816000,2.845491,-1.677839
78.863000,2.844843,-1.677189
78.896000,2.844470,-1.674918
78.928000,2.845096,-1.673232
78.960000,2.844669,-1.669947
78.991000,2.843422,-1.666649
79.023000,2.842492,-1.664807
79.056000,2.842382,-1.663136
79.088000,2.842381,-1.663175
79.119000,2.841612,-1.661844
79.152000,2.840480,-1.660755
79.183000,2.840678,-1.658670
79.215000,2.841130,-1.655679
79.263000,2.840137,-1.652451
79.295000,2.839476,-1.650252
79.327000,2.839006,-1.648231
79.360000,2.839289,-1.646315
79.391000,2.838703,-1.643353
79.423000,2.837450,-1.640619
79.456000,2.836608,-1.637999
79.488000,2.837410,-1.636948
79.519000,2.837359,-1.635332
79.552000,2.836489,-1.634015
79.584000,2.835754,-1.631922
79.615000,2.835829,-1.628886
79.664000,2.836049,-1.628007
79.695000,2.835024,-1.625691
79.728000,2.833668,-1.621800
79.760000,2.833155,-1.620121
79.792000,2.832516,-1.615205
79.823000,2.831910,-1.613458
79.856000,2.831257,-1.610351
79.888000,2.830493,-1.607908
79.920000,2.830716,-1.606064
79.952000,2.830703,-1.602906
79.983000,2.830194,-1.596465
80.015000,2.829368,-1.592787
80.063000,2.829615,-1.591997
80.095000,2.829505,-1.590505
80.127000,2.829021,-1.586906
80.160000,2.828356,-1.584183
