Time (s),X (in),Y (in)
2.799000,0.000000,0.000000
2.831000,0.000000,0.000000
2.862000,0.000000,0.000000
2.895000,0.000000,0.000000
2.927000,0.000000,0.000000
2.959000,0.000000,0.000000
2.991000,0.000000,0.000000
3.023000,0.000000,0.000000
3.055000,0.000000,0.000000
3.086000,0.000000,0.000000
3.119000,0.000000,0.000000
3.167000,0.000000,0.000000
3.199000,0.000000,0.000000
3.231000,0.000000,0.000000
3.263000,0.000000,0.000000
3.295000,0.000000,0.000000
3.327000,0.000000,0.000000
3.359000,0.000000,0.000000
3.391000,0.000000,0.000000
3.423000,0.000000,0.000000
3.455000,0.000000,0.000000
3.487000,0.000000,0.000000
3.519000,0.000000,0.000000
3.567000,0.000000,0.000000
3.599000,0.000000,0.000000
3.631000,0.000000,0.000000
3.663000,0.000000,0.000000
3.695000,0.000000,0.000000
3.727000,0.000000,0.000000
3.759000,0.000000,0.000000
3.791000,0.000000,0.000000
3.823000,0.000000,0.000000
3.855000,0.000000,0.000000
3.887000,0.000000,0.000000
3.919000,0.000000,0.000000
3.967000,0.000000,0.000000
3.999000,0.000000,0.000000
4.031000,0.000000,0.000000
4.063000,0.000000,0.000000
4.095000,0.000000,0.000000
4.127000,0.000000,0.000000
4.159000,0.000000,0.000000
4.191000,0.000000,0.000000
4.223000,0.000000,0.000000
4.255000,0.000000,0.000000
4.287000,0.000000,0.000000
4.319000,0.000000,0.000000
4.366000,0.000000,0.000000
4.399000,0.000000,0.000000
4.431000,0.000000,0.000000
4.463000,0.000000,0.000000
4.495000,0.000000,0.000000
4.527000,0.000000,0.000000
4.559000,3.418941,-1.692265
4.591000,3.420640,-1.643867
4.623000,3.421929,-1.595591
4.655000,3.422934,-1.551289
4.687000,3.424056,-1.509957
4.719000,3.424805,-1.457008
4.768000,3.425555,-1.414630
4.799000,3.426075,-1.365032
4.831000,3.426872,-1.313195
4.863000,3.427963,-1.270753
4.895000,3.429036,-1.229628
4.927000,3.432868,-1.178760
4.959000,3.436952,-1.133418
4.991000,3.439336,-1.081933
5.023000,3.434218,-1.035720
5.055000,3.427799,-1.000796
5.087000,3.427192,-0.947473
5.120000,3.433957,-0.906706
5.167000,3.438843,-0.859956
5.199000,3.435624,-0.816106
5.231000,3.430247,-0.768971
5.263000,3.431329,-0.723101
5.295000,3.436620,-0.684095
5.327000,3.439568,-0.640077
5.359000,3.435760,-0.594646
5.391000,3.431537,-0.543229
5.423000,3.430915,-0.510612
5.455000,3.433797,-0.464458
5.487000,3.436495,-0.422466
5.519000,3.446414,-0.379566
5.567000,3.446858,-0.340269
5.599000,3.442615,-0.288388
5.631000,3.437605,-0.249068
5.663000,3.440576,-0.205307
5.695000,3.448097,-0.161915
5.727000,3.449044,-0.115825
5.759000,3.440983,-0.071271
5.791000,3.437925,-0.029770
5.823000,3.439195,0.005805
5.855000,3.441963,0.047875
5.887000,3.435701,0.090478
5.919000,3.427143,0.134515
5.967000,3.424681,0.178923
5.999000,3.429310,0.225651
6.031000,3.425892,0.264810
6.063000,3.417075,0.307866
6.095000,3.416740,0.348464
6.127000,3.423233,0.392967
6.159000,3.422904,0.435206
6.191000,3.413136,0.478118
6.223000,3.408208,0.511968
6.255000,3.414208,0.545475
6.287000,3.417481,0.591001
6.319000,3.413233,0.631009
6.366000,3.407690,0.675453
6.399000,3.409295,0.716653
