Time (s),X (in),Y (in)
13.168000,3.752750,-1.094035
13.200000,3.754902,-1.086582
13.232000,3.754683,-1.086389
13.264000,3.754217,-1.080333
13.296000,3.754551,-1.066988
13.328000,3.756918,-1.064008
13.360000,3.546407,-1.068354
13.408000,3.547894,-1.053935
13.440000,3.547630,-1.043934
13.472000,3.548248,-1.038306
13.504000,3.548655,-1.029473
13.536000,3.756199,-1.012046
13.568000,3.754623,-0.987005
13.600000,3.757215,-0.973450
13.632000,3.762922,-0.949966
13.664000,3.768172,-0.937045
13.696000,3.760365,-0.917947
13.728000,3.759840,-0.903984
13.760000,3.759730,-0.896061
13.808000,3.760436,-0.872334
13.840000,3.761339,-0.862699
13.871000,3.759885,-0.847071
13.904000,3.759373,-0.832410
13.936000,3.760163,-0.814697
13.968000,3.761126,-0.807883
14.000000,3.760451,-0.793553
14.032000,3.759146,-0.777873
14.064000,3.759905,-0.759550
14.095000,3.760729,-0.752008
14.128000,3.759691,-0.737138
14.160000,3.759705,-0.725461
14.208000,3.758761,-0.709004
14.241000,3.760543,-0.693447
14.272000,3.759858,-0.682046
14.304000,3.759366,-0.669921
14.336000,3.759488,-0.654028
14.368000,3.761162,-0.645744
14.400000,3.760984,-0.632461
14.432000,3.759872,-0.623147
14.464000,3.758590,-0.603434
14.496000,3.759372,-0.589907
14.528000,3.758339,-0.578131
14.560000,3.549155,-0.576737
14.608000,3.549289,-0.563440
14.640000,3.551182,-0.547964
14.671000,3.550581,-0.536760
14.704000,3.549787,-0.525651
14.736000,3.549803,-0.512421
14.768000,3.551344,-0.498113
14.800000,3.759790,-0.477225
14.832000,3.759214,-0.471901
14.863000,3.759766,-0.449407
14.895000,3.761325,-0.433195
14.927000,3.761702,-0.418739
14.959000,3.762108,-0.407700
15.008000,3.759536,-0.383626
15.040000,3.761837,-0.373716
15.072000,3.761930,-0.358826
15.104000,3.761548,-0.349157
15.136000,3.759357,-0.336871
15.168000,3.762127,-0.318218
15.199000,3.761863,-0.307132
15.231000,3.762213,-0.299446
15.264000,3.759578,-0.279249
15.295000,3.760388,-0.265760
15.328000,3.762238,-0.245169
15.360000,3.763385,-0.233120
15.409000,3.761768,-0.219846
15.440000,3.761621,-0.205929
15.471000,3.762936,-0.184931
15.503000,3.763220,-0.169445
15.535000,3.762591,-0.158852
15.567000,3.761288,-0.146106
15.600000,3.762351,-0.133747
15.632000,3.763597,-0.109479
15.664000,3.760658,-0.097209
15.696000,3.759956,-0.081787
15.728000,3.760789,-0.072969
15.760000,3.762703,-0.049957
15.807000,3.762267,-0.035184
15.839000,3.761363,-0.029038
15.872000,3.762377,-0.010506
15.904000,3.762270,0.004445
15.936000,3.762789,0.008114
15.968000,3.761363,0.020788
16.001000,3.760330,0.037505
16.032000,3.760583,0.060595
16.063000,3.764278,0.075525
16.095000,3.762864,0.089709
16.127000,3.762168,0.103876
16.159000,3.763389,0.125038
16.208000,3.768935,0.134143
16.240000,3.767578,0.149665
16.272000,3.762413,0.166106
16.304000,3.762185,0.179245
16.335000,3.765877,0.188734
16.368000,3.766269,0.205797
16.400000,3.762857,0.214834
16.432000,3.762834,0.230984
16.464000,3.765992,0.242638
16.495000,3.766590,0.256605
16.527000,3.763720,0.265958
16.559000,3.762557,0.282343
16.607000,3.765474,0.292698
16.639000,3.766482,0.309174
16.672000,3.764964,0.315021
16.704000,3.763697,0.332481
16.736000,3.765047,0.346491
16.768000,3.766475,0.361471
16.800000,3.766555,0.372626
16.832000,3.763488,0.385614
16.864000,3.764585,0.400679
16.896000,3.766503,0.408972
16.928000,3.766757,0.436431
16.960000,3.762007,0.447707
17.007000,3.762707,0.466516
17.039000,3.766953,0.473140
17.071000,3.769076,0.486220
17.103000,3.764038,0.501821
17.135000,3.763592,0.513481
17.168000,3.763733,0.522156
17.200000,3.764678,0.530317
17.232000,3.764183,0.541363
17.264000,3.764370,0.558733
17.296000,3.761824,0.578197
17.328000,3.764912,0.590356
17.360000,3.766081,0.605568
17.408000,3.764716,0.623514
17.440000,3.763945,0.638587
17.472000,3.765898,0.644717
17.503000,3.765540,0.664208
17.536000,3.765244,0.676522
17.568000,3.763490,0.694926
17.600000,3.763400,0.701595
17.632000,3.765064,0.717986
17.663000,3.765383,0.728938
17.695000,3.763223,0.745821
17.727000,3.763468,0.753831
17.760000,3.764275,0.771434
17.808000,3.765826,0.782845
17.840000,3.764898,0.798392
17.872000,3.763132,0.805504
17.904000,3.763258,0.823278
17.935000,3.765177,0.835745
17.968000,3.763512,0.849917
18.000000,3.763072,0.857015
18.032000,3.761328,0.870323
18.064000,3.760112,0.884980
18.095000,3.761970,0.895879
18.127000,3.767547,0.912784
18.160000,3.765947,0.928721
18.208000,3.761196,0.945255
18.240000,3.753527,0.967913
18.272000,3.754581,0.977828
18.303000,3.760119,0.981420
18.335000,3.761127,0.991664
18.368000,3.758964,1.000317
18.400000,3.754545,1.015809
18.432000,3.758377,1.020645
18.464000,3.760786,1.031943
18.495000,3.760590,1.041863
18.528000,3.755575,1.057661
18.560000,3.761146,1.082252
18.608000,3.766973,1.094804
18.640000,3.774382,1.097078
18.671000,3.763455,1.119148
18.703000,3.761375,1.134263
18.736000,3.762076,1.151918
18.768000,3.762998,1.158916
18.800000,3.761469,1.172454
18.832000,3.759673,1.187882
18.864000,3.762225,1.201177
18.895000,3.766412,1.207657
18.928000,3.763023,1.223997
18.960000,3.760841,1.248678
19.008000,3.760828,1.257596
19.040000,3.764654,1.271736
19.071000,3.766627,1.281927
19.104000,3.762130,1.302712
19.135000,3.758152,1.317761
19.168000,3.762096,1.327357
19.200000,3.767032,1.337633
19.232000,3.764610,1.353266
19.264000,3.760731,1.374246
19.296000,3.757352,1.384848
19.328000,3.762246,1.395405
19.360000,3.762341,1.414221
19.408000,3.761595,1.429700
19.440000,3.754761,1.448331
19.472000,3.757213,1.459831
19.503000,3.761565,1.469870
19.536000,3.761081,1.481555
19.568000,3.754723,1.496071
19.600000,3.755908,1.507249
19.632000,3.759807,1.515276
19.664000,3.760854,1.529177
19.695000,3.759403,1.536816
19.728000,3.759472,1.553351
19.760000,3.761105,1.565801
19.808000,3.760966,1.587600
19.840000,3.756636,1.599883
19.871000,3.759022,1.617311
19.904000,3.760647,1.627606
19.935000,3.761152,1.638201
19.968000,3.759855,1.654379
20.000000,3.757247,1.669610
20.032000,3.760017,1.674962
20.064000,3.761050,1.691147
20.096000,3.761031,1.705801
20.128000,3.751751,1.715989
20.160000,3.741224,1.727555
20.208000,3.739920,1.743019
20.239000,3.733504,1.763587
20.272000,3.731605,1.786423
20.304000,3.739139,1.787582
20.335000,3.758954,1.790544
20.368000,3.775493,1.801154
20.400000,3.761017,1.820168
20.432000,3.743919,1.833830
20.463000,3.739305,1.856772
20.496000,3.741228,1.867609
20.528000,3.753693,1.874971
20.560000,3.773338,1.885569
20.608000,3.767307,1.892441
20.640000,3.752519,1.912176
20.672000,3.739608,1.950877
20.704000,3.750734,1.953969
20.736000,3.759966,1.956803
20.768000,3.771401,1.966066
20.800000,3.758548,1.983672
20.832000,3.740743,1.994741
20.864000,3.742025,2.007780
20.896000,3.758112,2.010682
20.927000,3.766248,2.022238
20.960000,3.759634,2.034341
21.008000,3.752169,2.044185
21.040000,3.751278,2.054904
21.072000,3.758117,2.069311
21.104000,3.757021,2.092925
21.136000,3.751781,2.107614
21.168000,3.756503,2.128078
21.200000,3.750308,2.139237
21.231000,3.757495,2.144523
21.264000,3.747364,2.157111
21.296000,3.740508,2.178076
21.328000,3.740881,2.195172
21.360000,3.742309,2.205214
21.408000,3.750805,2.210776
21.440000,3.748221,2.224076
21.472000,3.742542,2.246620
21.504000,3.741910,2.260806
21.536000,3.751287,2.270334
21.568000,3.760830,2.282402
21.600000,3.763280,2.296973
21.631000,3.751310,2.317108
21.664000,3.750454,2.329854
21.695000,3.753904,2.339506
21.728000,3.757922,2.352999
21.760000,3.756970,2.366880
21.808000,3.751107,2.377869
21.840000,3.749851,2.389408
21.872000,3.749992,2.404490
21.904000,3.749648,2.418513
21.936000,3.750101,2.432877
21.968000,3.748406,2.452269
22.000000,3.749398,2.468262
22.032000,3.753849,2.481372
22.064000,3.750418,2.491730
22.096000,3.748577,2.500464
22.128000,3.749898,2.511355
22.160000,3.754907,2.520325
22.208000,3.751647,2.527454
22.240000,3.748111,2.538226
22.272000,3.747836,2.549910
22.303000,3.748133,2.560764
22.335000,3.748586,2.573254
22.368000,3.747747,2.596421
22.400000,3.747591,2.613709
22.431000,3.748221,2.628317
22.464000,3.749788,2.638524
22.496000,3.747894,2.651804
22.528000,3.747748,2.670378
22.560000,3.748021,2.682970
22.608000,3.748195,2.692035
22.640000,3.747550,2.705971
22.672000,3.747405,2.723796
22.704000,3.747780,2.736792
22.736000,3.748038,2.745010
22.768000,3.747656,2.758442
22.800000,3.746945,2.777866
22.832000,3.747112,2.792192
22.864000,3.747523,2.804322
22.895000,3.747351,2.816566
22.928000,3.746658,2.836453
22.960000,3.746171,2.848543
23.008000,3.746580,2.862885
23.040000,3.747094,2.876359
23.072000,3.746318,2.894158
23.104000,3.745556,2.901639
23.136000,3.745844,2.915948
23.167000,3.746569,2.932719
23.200000,3.745537,2.961230
23.232000,3.744385,2.966724
23.264000,3.744455,2.980072
23.296000,3.744780,2.992802
23.329000,3.745431,3.005814
23.360000,3.744769,3.012050
23.408000,3.744850,3.025432
23.440000,3.744597,3.038414
23.472000,3.744986,3.049288
23.504000,3.744301,3.061092
23.536000,3.744236,3.070510
23.568000,3.743762,3.091202
23.600000,3.745059,3.111535
23.631000,3.744219,3.125965
23.664000,3.744245,3.136695
23.696000,3.743901,3.151503
23.728000,3.744479,3.165474
23.760000,3.744360,3.181468
23.807000,3.744128,3.191352
23.840000,3.743787,3.214840
23.872000,3.744234,3.222676
23.904000,3.744352,3.237317
23.936000,3.744011,3.248713
23.968000,3.744177,3.269400
24.000000,3.744086,3.276967
24.032000,3.744393,3.293560
24.064000,3.743848,3.308239
24.095000,3.743570,3.324972
24.128000,3.743299,3.334215
24.160000,3.744139,3.347819
24.208000,3.743878,3.363393
24.240000,3.743101,3.378809
24.272000,3.742327,3.393997
24.304000,3.742848,3.403677
24.336000,3.742986,3.419281
24.368000,3.742058,3.432435
24.400000,3.741523,3.464130
24.432000,3.741778,3.472011
24.464000,3.742054,3.489054
24.496000,3.741603,3.495165
24.528000,3.741762,3.508406
24.560000,3.741458,3.516109
24.608000,3.741073,3.528511
24.640000,3.741562,3.539158
24.672000,3.740842,3.551456
24.704000,3.741228,3.558445
24.735000,3.740845,3.576660
24.768000,3.741317,3.586559
24.800000,3.740497,3.608147
24.831000,3.740509,3.620380
24.864000,3.740782,3.642464
24.896000,3.741498,3.651525
24.928000,3.740706,3.668163
24.960000,3.740639,3.681086
25.008000,3.740094,3.694429
25.040000,3.741674,3.705051
25.072000,3.740460,3.719499
25.104000,3.740948,3.730083
25.135000,3.740783,3.744813
25.168000,3.741522,3.756932
25.200000,3.740574,3.770114
25.232000,3.740301,3.781370
25.264000,3.740160,3.792972
25.296000,3.740817,3.806637
25.328000,3.740920,3.819574
25.360000,3.740093,3.828162
25.408000,3.739694,3.840238
25.440000,3.739577,3.853035
25.472000,3.740497,3.866795
25.504000,3.739630,3.876617
25.535000,3.740020,3.890390
25.567000,3.738915,3.899515
25.600000,3.739155,3.914342
25.632000,3.738988,3.928399
25.664000,3.739313,3.940346
25.696000,3.738680,3.953275
25.728000,3.738514,3.971013
25.760000,3.739046,3.993283
25.808000,3.738699,4.003267
25.840000,3.737787,4.013505
25.872000,3.738521,4.024283
25.904000,3.738603,4.037162
25.936000,3.738567,4.044466
25.968000,3.738159,4.056314
26.000000,3.738101,4.068770
26.031000,3.738338,4.080847
26.064000,3.737690,4.091382
26.095000,3.737016,4.109400
26.128000,3.737000,4.128644
26.159000,3.738067,4.141505
26.208000,3.737542,4.151618
26.240000,3.737207,4.166298
26.271000,3.737585,4.182961
26.304000,3.737369,4.195305
26.336000,3.737347,4.204783
26.368000,3.737176,4.221333
26.400000,3.736606,4.235491
26.432000,3.737518,4.250035
26.465000,3.736960,4.257054
26.495000,3.736855,4.271596
26.528000,3.736253,4.286514
26.560000,3.736514,4.300359
26.608000,3.736772,4.311248
26.640000,3.736628,4.324409
26.671000,3.735494,4.336844
26.704000,3.735266,4.350647
26.736000,3.735889,4.362759
26.768000,3.736229,4.372953
26.800000,3.735584,4.387207
26.832000,3.735818,4.400531
26.864000,3.735594,4.415549
26.896000,3.735962,4.425591
26.928000,3.735314,4.443079
26.960000,3.735549,4.455195
27.008000,3.735294,4.473163
27.040000,3.735548,4.481565
27.072000,3.735871,4.500902
27.104000,3.735890,4.508409
27.136000,3.735287,4.529478
27.168000,3.735037,4.534467
27.200000,3.735271,4.549887
27.232000,3.735304,4.557989
27.264000,3.735904,4.571412
27.296000,3.734815,4.582603
27.327000,3.735389,4.595697
27.360000,3.735254,4.604074
27.408000,3.735849,4.618570
27.440000,3.734751,4.632524
27.472000,3.734540,4.643703
27.504000,3.734475,4.654766
27.536000,3.734221,4.664453
27.568000,3.734606,4.674486
27.600000,3.734713,4.687156
27.632000,3.734918,4.694310
27.663000,3.734696,4.706555
27.695000,3.734323,4.712590
27.728000,3.734451,4.725650
27.760000,3.734989,4.735841
27.807000,3.734495,4.744006
27.840000,3.734730,4.751493
27.872000,3.734475,4.761626
27.904000,3.734322,4.768628
27.935000,3.734608,4.777352
27.968000,3.735080,4.787995
28.000000,3.734071,4.798668
28.032000,3.734846,4.804571
28.064000,3.733670,4.817328
28.096000,3.734724,4.822820
28.128000,3.733562,4.836726
28.160000,3.733467,4.850834
28.208000,3.733255,4.857453
28.240000,3.733691,4.869596
28.272000,3.732495,4.877384
28.304000,3.732857,4.891623
28.335000,3.732739,4.906701
28.367000,3.733385,4.914675
28.400000,3.732730,4.929502
28.432000,3.732541,4.944756
28.464000,3.732534,4.961511
28.495000,3.732790,4.970163
28.528000,3.732820,4.985470
28.560000,3.732193,4.999192
28.592000,3.732721,5.021329
28.640000,3.732986,5.028068
28.672000,3.732203,5.045916
28.704000,3.732630,5.057605
28.736000,3.732011,5.069818
28.768000,3.731908,5.077179
28.799000,3.731262,5.089938
28.832000,3.731756,5.102704
28.864000,3.731547,5.115207
28.896000,3.731573,5.129112
28.928000,3.731346,5.139805
28.960000,3.731829,5.155876
